,ds,y
245,2011-10-02,11623.58
246,2011-10-03,64214.78
247,2011-10-04,48240.84
248,2011-10-05,75244.43
249,2011-10-06,55306.28
250,2011-10-07,47538.02
251,2011-10-09,11922.24
252,2011-10-10,44265.89
253,2011-10-11,38267.75
254,2011-10-12,29302.85
255,2011-10-13,37067.17
256,2011-10-14,35225.54
257,2011-10-16,21605.44
258,2011-10-17,47064.14
259,2011-10-18,44637.840000000004
260,2011-10-19,36003.43
261,2011-10-20,60793.14
262,2011-10-21,62961.26
263,2011-10-23,12302.41
264,2011-10-24,38407.72
265,2011-10-25,40807.49
266,2011-10-26,37842.08
267,2011-10-27,47480.15
268,2011-10-28,39559.47
269,2011-10-30,34545.28
270,2011-10-31,48475.45
271,2011-11-01,28741.55
272,2011-11-02,45239.06
273,2011-11-03,62816.55
274,2011-11-04,60081.76
275,2011-11-06,42912.4
276,2011-11-07,70001.08
277,2011-11-08,56647.66
278,2011-11-09,62599.43
279,2011-11-10,68956.24
280,2011-11-11,54835.51
281,2011-11-13,33520.22
282,2011-11-14,112141.11
283,2011-11-15,60594.23
284,2011-11-16,64408.7
285,2011-11-17,60329.72
286,2011-11-18,48031.8
287,2011-11-20,34902.01
288,2011-11-21,48302.5
289,2011-11-22,62307.32
290,2011-11-23,78480.7
291,2011-11-24,48080.28
292,2011-11-25,50442.72
293,2011-11-27,20571.5
294,2011-11-28,55442.02
295,2011-11-29,72219.2
296,2011-11-30,59150.98
297,2011-12-01,51410.95
298,2011-12-02,57086.06
299,2011-12-04,24565.78
300,2011-12-05,57751.32
301,2011-12-06,54228.37
302,2011-12-07,75076.22
303,2011-12-08,81417.78
304,2011-12-09,32131.529999999988
