recency,frequency,monetary,cluster,customer_segment,dbscan_cluster
95,38,683.5600000000001,2,At Risk Customers,0
0,121,1683.39,1,VIP Customers,0
162,16,273.52,0,Churned Customers,0
77,32,536.4,2,At Risk Customers,0
194,29,510.73,2,At Risk Customers,0
21,25,471.16,3,Loyal Customers,0
25,265,4930.4800000000005,1,VIP Customers,0
8,63,1220.66,1,VIP Customers,0
42,10,208.6,0,Churned Customers,0
59,214,4008.17,1,VIP Customers,0
42,64,1055.12,2,At Risk Customers,0
0,323,6353.54,1,VIP Customers,0
84,48,713.54,2,At Risk Customers,0
267,2,78.0,0,Churned Customers,0
99,12,286.36,0,Churned Customers,0
1,179,3610.2,1,VIP Customers,0
13,85,1534.65,1,VIP Customers,0
366,11,173.55,0,Churned Customers,0
2,12,172.06,3,Loyal Customers,0
20,153,3030.71,1,VIP Customers,0
21,3,77.4,0,Churned Customers,0
57,57,1002.31,2,At Risk Customers,0
242,25,431.49,2,At Risk Customers,0
43,20,300.45,3,Loyal Customers,0
21,179,3152.69,1,VIP Customers,0
155,7,131.88,0,Churned Customers,0
10,310,6132.5,1,VIP Customers,0
16,20,304.67,3,Loyal Customers,0
133,43,707.09,2,At Risk Customers,0
72,76,1487.7,2,At Risk Customers,0
43,113,1971.76,1,VIP Customers,0
85,53,1169.63,2,At Risk Customers,0
70,33,631.7,2,At Risk Customers,0
154,30,436.08,2,At Risk Customers,0
18,60,937.59,3,Loyal Customers,0
52,83,1344.78,2,At Risk Customers,0
9,15,317.5,3,Loyal Customers,0
16,47,742.1899999999999,3,Loyal Customers,0
187,37,658.74,2,At Risk Customers,0
1,346,7221.9,1,VIP Customers,0
31,316,5054.83,1,VIP Customers,0
28,160,2569.0,1,VIP Customers,0
16,413,6770.68,1,VIP Customers,0
53,34,621.68,2,At Risk Customers,0
15,196,3966.92,1,VIP Customers,0
22,198,4100.9,1,VIP Customers,0
3,35,545.99,3,Loyal Customers,0
10,30,473.2,3,Loyal Customers,0
27,147,2474.03,1,VIP Customers,0
22,192,3795.82,1,VIP Customers,0
16,60,1301.64,1,VIP Customers,0
34,337,3837.32,1,VIP Customers,0
9,48,884.84,3,Loyal Customers,0
335,15,334.93,0,Churned Customers,0
4,229,4319.63,1,VIP Customers,0
38,25,413.6,3,Loyal Customers,0
62,20,263.21000000000004,2,At Risk Customers,0
165,22,433.74,2,At Risk Customers,0
15,77,1246.1,1,VIP Customers,0
81,3,83.4,0,Churned Customers,0
20,23,403.7000000000001,3,Loyal Customers,0
22,37,640.84,3,Loyal Customers,0
336,148,2025.39,2,At Risk Customers,0
95,133,2285.87,2,At Risk Customers,0
17,5,92.65,0,Churned Customers,0
232,23,73.5,0,Churned Customers,0
133,11,251.76,0,Churned Customers,0
25,68,397.88,3,Loyal Customers,0
283,5,77.5,0,Churned Customers,0
142,28,499.45,2,At Risk Customers,0
65,31,132.18,0,Churned Customers,0
112,34,558.29,2,At Risk Customers,0
266,50,957.98,2,At Risk Customers,0
352,15,278.7,0,Churned Customers,0
77,13,330.88,0,Churned Customers,0
27,277,2337.6,1,VIP Customers,0
0,120,1852.83,1,VIP Customers,0
63,16,276.84,0,Churned Customers,0
78,147,2300.54,1,VIP Customers,0
142,37,545.68,2,At Risk Customers,0
38,12,192.72,0,Churned Customers,0
18,106,1789.77,1,VIP Customers,0
8,117,2091.42,1,VIP Customers,0
0,70,1244.66,1,VIP Customers,0
81,16,247.91000000000005,0,Churned Customers,0
8,85,1552.33,1,VIP Customers,0
59,61,1301.18,2,At Risk Customers,0
14,17,125.22,3,Loyal Customers,0
29,15,304.83000000000004,3,Loyal Customers,0
130,62,981.18,2,At Risk Customers,0
91,32,627.25,2,At Risk Customers,0
58,254,4017.81,1,VIP Customers,0
28,21,363.95,3,Loyal Customers,0
21,263,4595.85,1,VIP Customers,0
19,409,7646.94,1,VIP Customers,0
29,50,849.48,3,Loyal Customers,0
35,18,316.7,3,Loyal Customers,0
74,48,832.39,2,At Risk Customers,0
46,67,1021.5,2,At Risk Customers,0
197,8,207.8,0,Churned Customers,0
165,5,95.2,0,Churned Customers,0
78,56,824.83,2,At Risk Customers,0
357,10,168.0,0,Churned Customers,0
39,19,317.82,3,Loyal Customers,0
7,185,3284.06,1,VIP Customers,0
49,119,599.56,2,At Risk Customers,0
157,3,81.6,0,Churned Customers,0
7,9,145.16,3,Loyal Customers,0
319,17,289.46,0,Churned Customers,0
4,100,1732.21,1,VIP Customers,0
302,16,238.85,0,Churned Customers,0
7,152,2673.26,1,VIP Customers,0
260,20,402.9,2,At Risk Customers,0
288,9,145.92,0,Churned Customers,0
85,18,297.65,2,At Risk Customers,0
22,421,7485.13,1,VIP Customers,0
1,179,3477.14,1,VIP Customers,0
39,34,519.61,2,At Risk Customers,0
8,56,809.22,3,Loyal Customers,0
226,28,160.54000000000002,0,Churned Customers,0
315,11,218.45,0,Churned Customers,0
35,88,1315.83,1,VIP Customers,0
34,146,626.6,2,At Risk Customers,0
20,107,2124.31,1,VIP Customers,0
77,28,386.42,2,At Risk Customers,0
246,24,415.7,2,At Risk Customers,0
39,15,197.71,0,Churned Customers,0
238,21,391.36,2,At Risk Customers,0
2,193,3855.16,1,VIP Customers,0
3,85,1647.2,1,VIP Customers,0
233,80,1417.9,2,At Risk Customers,0
16,11,196.94000000000003,3,Loyal Customers,0
7,4,144.0,3,Loyal Customers,0
38,10,214.9,0,Churned Customers,0
28,33,541.68,3,Loyal Customers,0
210,3,120.0,0,Churned Customers,0
316,25,368.85,2,At Risk Customers,0
91,18,437.6,2,At Risk Customers,0
108,21,418.1,2,At Risk Customers,0
46,103,2453.59,1,VIP Customers,0
50,24,384.03,2,At Risk Customers,0
18,202,3178.22,1,VIP Customers,0
9,119,2288.86,1,VIP Customers,0
28,60,927.58,2,At Risk Customers,0
28,44,802.64,3,Loyal Customers,0
189,27,501.46,2,At Risk Customers,0
58,12,153.12,0,Churned Customers,0
78,16,254.18,0,Churned Customers,0
59,101,1579.51,2,At Risk Customers,0
77,59,1036.85,2,At Risk Customers,0
22,104,1827.54,1,VIP Customers,0
51,64,1049.32,2,At Risk Customers,0
73,12,312.54,0,Churned Customers,0
56,145,2809.78,1,VIP Customers,0
277,20,315.6,2,At Risk Customers,0
1,97,1766.79,1,VIP Customers,0
94,29,538.4,2,At Risk Customers,0
28,41,352.98,3,Loyal Customers,0
21,11,177.31,3,Loyal Customers,0
15,69,1333.48,1,VIP Customers,0
14,92,1339.41,1,VIP Customers,0
1,401,7185.61,1,VIP Customers,0
231,11,180.1,0,Churned Customers,0
275,18,305.1,0,Churned Customers,0
105,38,641.13,2,At Risk Customers,0
211,69,1260.02,2,At Risk Customers,0
22,273,4912.23,1,VIP Customers,0
10,220,3860.23,1,VIP Customers,0
3,40,736.46,3,Loyal Customers,0
9,62,1030.88,3,Loyal Customers,0
56,30,480.5,2,At Risk Customers,0
58,97,1539.78,2,At Risk Customers,0
89,99,1509.18,2,At Risk Customers,0
66,366,5092.19,1,VIP Customers,0
32,38,511.69,3,Loyal Customers,0
238,21,366.1,2,At Risk Customers,0
23,49,903.32,3,Loyal Customers,0
114,10,185.9,0,Churned Customers,0
24,43,734.14,3,Loyal Customers,0
171,6,126.24,0,Churned Customers,0
129,31,477.91,2,At Risk Customers,0
33,66,1341.98,2,At Risk Customers,0
4,37,850.65,3,Loyal Customers,0
21,98,1837.82,1,VIP Customers,0
154,20,273.3,2,At Risk Customers,0
106,29,499.61,2,At Risk Customers,0
2,18,147.64,3,Loyal Customers,0
334,9,114.0,0,Churned Customers,0
330,46,747.1800000000001,2,At Risk Customers,0
148,28,582.02,2,At Risk Customers,0
10,38,601.98,3,Loyal Customers,0
16,104,2142.77,1,VIP Customers,0
10,36,744.48,3,Loyal Customers,0
18,35,632.05,3,Loyal Customers,0
29,5,91.68,0,Churned Customers,0
10,13,245.1,3,Loyal Customers,0
0,230,3849.78,1,VIP Customers,0
15,12,304.0,3,Loyal Customers,0
324,3,63.0,0,Churned Customers,0
57,32,460.13,2,At Risk Customers,0
11,150,2684.13,1,VIP Customers,0
150,98,1427.73,2,At Risk Customers,0
9,71,1686.61,1,VIP Customers,0
329,8,133.95,0,Churned Customers,0
4,41,565.52,3,Loyal Customers,0
38,76,1447.94,2,At Risk Customers,0
24,41,989.39,3,Loyal Customers,0
42,51,1210.45,2,At Risk Customers,0
58,44,812.06,2,At Risk Customers,0
0,52,862.81,3,Loyal Customers,0
14,589,10285.98,1,VIP Customers,0
3,484,8938.07,1,VIP Customers,0
3,305,5225.51,1,VIP Customers,0
7,98,1845.99,1,VIP Customers,0
27,150,2442.68,1,VIP Customers,0
371,7,89.14,0,Churned Customers,0
113,146,2827.45,2,At Risk Customers,0
25,70,1132.65,1,VIP Customers,0
205,14,285.01,0,Churned Customers,0
27,27,542.6,3,Loyal Customers,0
126,38,764.11,2,At Risk Customers,0
69,30,507.12,2,At Risk Customers,0
6,24,414.1,3,Loyal Customers,0
28,37,670.54,3,Loyal Customers,0
7,259,4229.27,1,VIP Customers,0
79,53,797.71,2,At Risk Customers,0
19,12,219.0,3,Loyal Customers,0
70,21,283.55,2,At Risk Customers,0
6,78,1448.48,1,VIP Customers,0
14,311,5311.29,1,VIP Customers,0
291,30,433.42,2,At Risk Customers,0
29,156,2659.81,1,VIP Customers,0
14,143,3224.52,1,VIP Customers,0
96,76,1077.02,2,At Risk Customers,0
28,103,2288.9300000000003,1,VIP Customers,0
0,34,628.5,3,Loyal Customers,0
8,246,3848.36,1,VIP Customers,0
105,19,263.36,0,Churned Customers,0
3,68,999.49,1,VIP Customers,0
150,53,830.98,2,At Risk Customers,0
70,19,238.25,0,Churned Customers,0
4,39,644.95,3,Loyal Customers,0
2,342,5046.97,1,VIP Customers,0
31,156,2375.33,1,VIP Customers,0
84,51,856.63,2,At Risk Customers,0
3,67,613.02,3,Loyal Customers,0
4,51,927.61,3,Loyal Customers,0
370,23,371.8,2,At Risk Customers,0
27,116,2218.5,1,VIP Customers,0
10,114,2080.38,1,VIP Customers,0
70,46,836.33,2,At Risk Customers,0
113,26,453.01,2,At Risk Customers,0
23,115,3013.45,1,VIP Customers,0
179,12,236.26,0,Churned Customers,0
233,21,307.45,2,At Risk Customers,0
352,2,16.8,0,Churned Customers,0
314,39,591.3199999999999,2,At Risk Customers,0
371,11,155.35,0,Churned Customers,0
77,33,531.54,2,At Risk Customers,0
63,27,427.6,2,At Risk Customers,0
133,131,540.13,2,At Risk Customers,0
55,132,2937.14,1,VIP Customers,0
1,84,1959.01,1,VIP Customers,0
0,4331,23935.48,1,VIP Customers,0
3,193,3691.86,1,VIP Customers,0
128,15,275.88,0,Churned Customers,0
80,23,585.62,2,At Risk Customers,0
22,31,905.2,3,Loyal Customers,0
276,49,61.62,0,Churned Customers,0
280,3,17.549999999999997,0,Churned Customers,0
86,3,50.88,0,Churned Customers,0
15,343,3243.55,1,VIP Customers,0
116,75,1573.89,2,At Risk Customers,0
51,93,1441.44,2,At Risk Customers,0
7,58,997.97,3,Loyal Customers,0
368,15,260.08,0,Churned Customers,0
316,32,741.33,2,At Risk Customers,0
3,290,5580.31,1,VIP Customers,0
238,23,456.84,2,At Risk Customers,0
59,54,752.47,2,At Risk Customers,0
16,62,1184.64,1,VIP Customers,0
19,48,723.23,3,Loyal Customers,0
37,132,2896.54,1,VIP Customers,0
63,19,498.84,2,At Risk Customers,0
4,95,1764.42,1,VIP Customers,0
1,79,1323.87,1,VIP Customers,0
14,56,476.82,3,Loyal Customers,0
363,13,255.95,0,Churned Customers,0
9,19,401.26,3,Loyal Customers,0
64,4,91.85,0,Churned Customers,0
191,21,324.92,2,At Risk Customers,0
373,1,15.0,0,Churned Customers,0
256,24,344.54,2,At Risk Customers,0
334,22,423.48,2,At Risk Customers,0
52,43,756.01,2,At Risk Customers,0
18,11,219.78,3,Loyal Customers,0
365,13,254.03,0,Churned Customers,0
186,25,427.58,2,At Risk Customers,0
36,28,483.65,3,Loyal Customers,0
177,24,405.31,2,At Risk Customers,0
260,31,514.85,2,At Risk Customers,0
44,15,229.64,0,Churned Customers,0
101,1,40.0,0,Churned Customers,0
147,45,863.46,2,At Risk Customers,0
95,28,492.2000000000001,2,At Risk Customers,0
280,3,106.64,0,Churned Customers,0
261,4,75.60000000000001,0,Churned Customers,0
2,59,942.34,3,Loyal Customers,0
213,6,92.72,0,Churned Customers,0
70,45,846.88,2,At Risk Customers,0
59,24,349.42,2,At Risk Customers,0
2,91,1474.72,1,VIP Customers,0
5,24,385.6,3,Loyal Customers,0
2,54,928.26,3,Loyal Customers,0
336,9,162.25,0,Churned Customers,0
261,9,215.05,0,Churned Customers,0
31,27,383.03,3,Loyal Customers,0
144,24,417.38,2,At Risk Customers,0
282,18,312.38,2,At Risk Customers,0
58,169,2316.26,1,VIP Customers,0
172,12,134.1,0,Churned Customers,0
33,120,671.95,2,At Risk Customers,0
2,308,5287.82,1,VIP Customers,0
143,109,2490.77,2,At Risk Customers,0
4,410,3705.06,1,VIP Customers,0
69,25,445.21,2,At Risk Customers,0
65,100,1532.46,2,At Risk Customers,0
28,52,325.96000000000004,3,Loyal Customers,0
268,25,71.79,0,Churned Customers,0
21,83,796.8399999999999,3,Loyal Customers,0
30,43,661.6899999999999,3,Loyal Customers,0
96,47,131.81,2,At Risk Customers,0
294,17,311.55,0,Churned Customers,0
134,70,1426.5,2,At Risk Customers,0
78,106,1092.55,2,At Risk Customers,0
372,3,38.1,0,Churned Customers,0
7,310,2120.86,1,VIP Customers,0
210,42,899.05,2,At Risk Customers,0
51,2,49.8,0,Churned Customers,0
137,2,27.6,0,Churned Customers,0
25,95,1568.23,1,VIP Customers,0
282,24,449.37,2,At Risk Customers,0
25,530,3785.04,1,VIP Customers,0
185,107,1607.0600000000002,2,At Risk Customers,0
83,9,135.84,0,Churned Customers,0
326,66,599.97,2,At Risk Customers,0
57,76,1549.02,2,At Risk Customers,0
3,151,1298.17,1,VIP Customers,0
235,47,854.99,2,At Risk Customers,0
44,5,91.72,0,Churned Customers,0
275,6,103.0,0,Churned Customers,0
24,42,703.47,3,Loyal Customers,0
87,6,139.05,0,Churned Customers,0
62,70,1128.42,2,At Risk Customers,0
67,82,1378.4,2,At Risk Customers,0
254,1,25.200000000000003,0,Churned Customers,0
23,78,331.72,3,Loyal Customers,0
292,1,42.0,0,Churned Customers,0
30,31,176.55,3,Loyal Customers,0
41,22,372.8,3,Loyal Customers,0
204,1,29.700000000000003,0,Churned Customers,0
9,60,1036.63,3,Loyal Customers,0
264,10,138.68,0,Churned Customers,0
17,70,445.06,3,Loyal Customers,0
11,42,908.33,3,Loyal Customers,0
39,83,1338.87,2,At Risk Customers,0
22,44,965.32,3,Loyal Customers,0
7,8,290.7,3,Loyal Customers,0
4,33,804.11,3,Loyal Customers,0
148,22,363.65,2,At Risk Customers,0
138,90,1876.3,2,At Risk Customers,0
7,45,949.31,3,Loyal Customers,0
16,27,162.78,3,Loyal Customers,0
8,662,12841.63,1,VIP Customers,0
160,28,405.38,2,At Risk Customers,0
63,28,172.82,2,At Risk Customers,0
87,20,232.84,0,Churned Customers,0
4,45,694.05,3,Loyal Customers,0
34,79,1637.5,1,VIP Customers,0
311,8,117.85,0,Churned Customers,0
77,25,415.8,2,At Risk Customers,0
66,4,76.96,0,Churned Customers,0
23,105,555.03,3,Loyal Customers,0
1,129,2160.7,1,VIP Customers,0
16,55,616.3,3,Loyal Customers,0
14,117,1279.87,1,VIP Customers,0
25,9,114.14,0,Churned Customers,0
54,95,848.69,2,At Risk Customers,0
130,70,675.6,2,At Risk Customers,0
35,30,604.51,3,Loyal Customers,0
287,22,404.95,2,At Risk Customers,0
143,94,1355.19,2,At Risk Customers,0
15,115,2018.15,1,VIP Customers,0
30,214,4103.62,1,VIP Customers,0
7,11,284.2,3,Loyal Customers,0
8,63,1064.07,3,Loyal Customers,0
5,79,1387.79,1,VIP Customers,0
9,17,329.85,3,Loyal Customers,0
0,162,3437.44,1,VIP Customers,0
305,19,108.07,0,Churned Customers,0
9,235,3841.24,1,VIP Customers,0
6,16,266.39,3,Loyal Customers,0
7,92,1708.58,1,VIP Customers,0
88,108,769.8100000000001,2,At Risk Customers,0
9,10,160.18,3,Loyal Customers,0
371,4,81.7,0,Churned Customers,0
111,4,74.75,0,Churned Customers,0
6,129,405.47,3,Loyal Customers,0
3,237,4840.32,1,VIP Customers,0
197,8,144.8,0,Churned Customers,0
211,19,303.6,2,At Risk Customers,0
155,9,39.24,0,Churned Customers,0
29,20,372.22,3,Loyal Customers,0
242,28,390.54,2,At Risk Customers,0
18,4,97.5,0,Churned Customers,0
0,74,1149.02,1,VIP Customers,0
73,27,508.75,2,At Risk Customers,0
291,83,505.82,2,At Risk Customers,0
8,27,130.63,3,Loyal Customers,0
30,12,351.0,3,Loyal Customers,0
22,30,461.26,3,Loyal Customers,0
22,27,414.76,3,Loyal Customers,0
3,61,974.42,3,Loyal Customers,0
84,2,76.32000000000001,0,Churned Customers,0
21,55,939.61,3,Loyal Customers,0
204,27,379.38,2,At Risk Customers,0
259,30,458.53,2,At Risk Customers,0
3,301,5022.2,1,VIP Customers,0
317,7,120.95,0,Churned Customers,0
150,5,89.05000000000001,0,Churned Customers,0
11,404,5655.91,1,VIP Customers,0
173,25,438.7,2,At Risk Customers,0
55,4,81.57,0,Churned Customers,0
322,14,229.47,0,Churned Customers,0
371,3,50.55,0,Churned Customers,0
8,87,1596.44,1,VIP Customers,0
0,206,3996.54,1,VIP Customers,0
10,86,1745.43,1,VIP Customers,0
52,173,2992.62,1,VIP Customers,0
72,47,789.89,2,At Risk Customers,0
15,454,7039.02,1,VIP Customers,0
3,122,2131.11,1,VIP Customers,0
63,38,599.9,2,At Risk Customers,0
0,36,614.28,3,Loyal Customers,0
22,45,661.3199999999999,3,Loyal Customers,0
30,7,116.5,0,Churned Customers,0
10,90,660.19,3,Loyal Customers,0
51,70,960.68,2,At Risk Customers,0
356,11,190.55,0,Churned Customers,0
54,37,642.77,2,At Risk Customers,0
73,20,434.28,2,At Risk Customers,0
137,47,833.6700000000001,2,At Risk Customers,0
79,22,383.76,2,At Risk Customers,0
8,43,676.99,3,Loyal Customers,0
272,9,231.82,0,Churned Customers,0
290,31,458.47,2,At Risk Customers,0
98,18,305.28000000000003,2,At Risk Customers,0
30,34,544.3100000000001,3,Loyal Customers,0
31,168,3014.96,1,VIP Customers,0
13,134,1772.21,1,VIP Customers,0
63,9,199.18,0,Churned Customers,0
14,399,5615.06,1,VIP Customers,0
211,17,280.3,0,Churned Customers,0
77,76,1214.41,2,At Risk Customers,0
24,7,147.65,0,Churned Customers,0
249,7,94.15,0,Churned Customers,0
253,14,246.33,0,Churned Customers,0
71,8,147.06,0,Churned Customers,0
190,8,133.5,0,Churned Customers,0
12,66,1001.59,3,Loyal Customers,0
372,14,205.86,0,Churned Customers,0
23,48,470.8,3,Loyal Customers,0
81,15,115.46,0,Churned Customers,0
0,410,3402.28,1,VIP Customers,0
191,9,228.8,0,Churned Customers,0
266,7,177.15,0,Churned Customers,0
129,14,385.01,2,At Risk Customers,0
0,109,601.66,1,VIP Customers,0
2,270,4530.62,1,VIP Customers,0
3,5,124.9,3,Loyal Customers,0
178,6,58.08,0,Churned Customers,0
11,873,16002.28,1,VIP Customers,0
125,59,1061.79,2,At Risk Customers,0
3,18,303.75,3,Loyal Customers,0
157,21,356.08000000000004,2,At Risk Customers,0
3,1484,29316.84,1,VIP Customers,0
8,107,1759.15,1,VIP Customers,0
27,21,345.82,3,Loyal Customers,0
70,25,477.83,2,At Risk Customers,0
275,88,1629.65,2,At Risk Customers,0
70,6,74.39999999999999,0,Churned Customers,0
32,405,5092.67,1,VIP Customers,0
0,357,7069.889999999999,1,VIP Customers,0
233,8,101.19,0,Churned Customers,0
0,283,5104.49,1,VIP Customers,0
39,6,141.94,0,Churned Customers,0
2,12,264.12,3,Loyal Customers,0
43,47,844.98,2,At Risk Customers,0
372,7,156.26,0,Churned Customers,0
59,46,735.54,2,At Risk Customers,0
30,144,1440.97,1,VIP Customers,0
0,132,1728.27,1,VIP Customers,0
11,116,2086.78,1,VIP Customers,0
137,30,501.14,2,At Risk Customers,0
21,76,984.91,1,VIP Customers,0
19,72,804.63,3,Loyal Customers,0
238,1,30.6,0,Churned Customers,0
268,50,283.73,2,At Risk Customers,0
93,55,922.39,2,At Risk Customers,0
89,213,3153.18,1,VIP Customers,0
4,137,1958.34,1,VIP Customers,0
77,15,259.17,0,Churned Customers,0
93,2,64.0,0,Churned Customers,0
22,40,690.0,3,Loyal Customers,0
261,2,32.3,0,Churned Customers,0
273,7,109.8,0,Churned Customers,0
85,95,1627.68,2,At Risk Customers,0
55,122,2365.81,1,VIP Customers,0
10,687,3603.29,1,VIP Customers,0
21,63,962.39,3,Loyal Customers,0
15,144,3324.96,1,VIP Customers,0
107,45,422.47,2,At Risk Customers,0
84,131,2139.75,2,At Risk Customers,0
18,23,307.09,3,Loyal Customers,0
332,2,47.2,0,Churned Customers,0
91,2,40.92,0,Churned Customers,0
25,15,132.91,3,Loyal Customers,0
28,309,3510.36,1,VIP Customers,0
13,83,1460.36,1,VIP Customers,0
295,74,1257.87,2,At Risk Customers,0
5,13,227.82,3,Loyal Customers,0
32,84,924.96,2,At Risk Customers,0
48,85,1631.72,2,At Risk Customers,0
94,79,1201.06,2,At Risk Customers,0
8,119,1354.65,1,VIP Customers,0
21,4,91.8,0,Churned Customers,0
312,8,112.75,0,Churned Customers,0
121,73,1357.09,2,At Risk Customers,0
45,35,531.8,2,At Risk Customers,0
282,41,417.2,2,At Risk Customers,0
18,65,791.33,3,Loyal Customers,0
35,124,1193.39,1,VIP Customers,0
63,9,217.28,0,Churned Customers,0
26,30,108.81,3,Loyal Customers,0
21,44,335.21,3,Loyal Customers,0
3,43,353.65,3,Loyal Customers,0
15,290,2598.93,1,VIP Customers,0
45,67,481.49,2,At Risk Customers,0
64,17,282.45,2,At Risk Customers,0
25,245,4645.99,1,VIP Customers,0
44,11,121.18,0,Churned Customers,0
7,61,971.48,3,Loyal Customers,0
14,176,1503.65,1,VIP Customers,0
39,76,1427.39,2,At Risk Customers,0
336,37,236.02,2,At Risk Customers,0
10,1,15.0,0,Churned Customers,0
18,29,260.68,3,Loyal Customers,0
94,63,911.94,2,At Risk Customers,0
60,25,112.08,0,Churned Customers,0
135,3,60.7,0,Churned Customers,0
10,109,1744.68,1,VIP Customers,0
9,226,3401.24,1,VIP Customers,0
7,44,1061.7,3,Loyal Customers,0
18,43,680.67,3,Loyal Customers,0
9,57,869.46,3,Loyal Customers,0
14,7,178.86,3,Loyal Customers,0
58,146,1125.45,2,At Risk Customers,0
29,305,4957.49,1,VIP Customers,0
93,22,353.48,2,At Risk Customers,0
9,51,483.42,3,Loyal Customers,0
19,140,736.83,1,VIP Customers,0
56,87,1342.38,2,At Risk Customers,0
267,1,10.5,0,Churned Customers,0
126,5,62.63999999999999,0,Churned Customers,0
77,14,172.44,0,Churned Customers,0
239,65,788.01,2,At Risk Customers,0
199,4,62.4,0,Churned Customers,0
59,99,1424.59,2,At Risk Customers,0
272,16,108.21,0,Churned Customers,0
201,7,129.0,0,Churned Customers,0
225,10,160.95,0,Churned Customers,0
3,584,2582.22,1,VIP Customers,0
12,202,1328.35,1,VIP Customers,0
73,42,558.32,2,At Risk Customers,0
211,54,785.67,2,At Risk Customers,0
24,36,744.85,3,Loyal Customers,0
22,30,596.73,3,Loyal Customers,0
261,20,285.01,2,At Risk Customers,0
95,67,663.65,2,At Risk Customers,0
111,13,270.40000000000003,0,Churned Customers,0
202,57,585.12,2,At Risk Customers,0
92,27,121.74,0,Churned Customers,0
50,16,430.5,2,At Risk Customers,0
17,127,1009.08,1,VIP Customers,0
21,22,360.0,3,Loyal Customers,0
124,26,465.68,2,At Risk Customers,0
92,19,127.73,0,Churned Customers,0
156,32,628.88,2,At Risk Customers,0
8,11,259.71,3,Loyal Customers,0
11,33,488.68,3,Loyal Customers,0
61,81,283.18,2,At Risk Customers,0
60,4,82.32000000000001,0,Churned Customers,0
262,10,149.29,0,Churned Customers,0
0,1664,7206.53,1,VIP Customers,0
52,83,1398.66,2,At Risk Customers,0
10,175,2993.6,1,VIP Customers,0
2,201,3966.33,1,VIP Customers,0
17,431,3054.75,1,VIP Customers,0
0,303,4388.62,1,VIP Customers,0
36,87,211.49,3,Loyal Customers,0
30,15,276.56,3,Loyal Customers,0
112,16,138.98,0,Churned Customers,0
63,29,544.9300000000001,2,At Risk Customers,0
15,6,159.4,3,Loyal Customers,0
40,46,542.73,2,At Risk Customers,0
77,9,137.75,0,Churned Customers,0
121,82,798.46,2,At Risk Customers,0
17,26,490.54,3,Loyal Customers,0
59,7,93.66,0,Churned Customers,0
330,13,201.19,0,Churned Customers,0
22,187,2709.12,1,VIP Customers,0
155,42,361.11,2,At Risk Customers,0
38,31,578.9399999999999,2,At Risk Customers,0
189,54,873.74,2,At Risk Customers,0
359,10,201.2,0,Churned Customers,0
136,5,87.4,0,Churned Customers,0
7,45,1139.3,3,Loyal Customers,0
267,4,82.80000000000001,0,Churned Customers,0
168,20,371.89,2,At Risk Customers,0
103,81,618.09,2,At Risk Customers,0
350,21,300.42,2,At Risk Customers,0
3,75,1678.36,1,VIP Customers,0
119,1,15.0,0,Churned Customers,0
22,48,872.47,3,Loyal Customers,0
6,107,1456.79,1,VIP Customers,0
